"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C22,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21";"C_0603_1608Metric";14;"100nF";;;
2;"R12,R13,R11,R14";"C_0805_2012Metric";4;"dnp";;;
3;"U9";"SOIC-8_3.9x4.9mm_P1.27mm";1;"AT24CS32-SSHM";;;
4;"R5,R6,R7,R8,R9,R10,R4,R3";"R_0603_1608Metric";8;"10K";;;
5;"R2,R1";"R_0603_1608Metric";2;"3K9";;;
6;"X1";"Oscillator_SMD_Abracon_ASV-4Pin_7.0x5.1mm";1;"ASV-20MHz";;;
7;"C1,C2,C3,C4,C5,C6,C7,C8";"C_0603_1608Metric";8;"1uF";;;
8;"J1";"PinHeader_2x20_P2.54mm_Vertical";1;"Raspberry_Pi_2_3";;;
9;"J2";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
10;"U1,U2,U3,U4";"SOIC-14_3.9x8.7mm_P1.27mm";4;"MCP2517FD-xSL";;;
11;"U5,U6,U7,U8";"SOIC-8_3.9x4.9mm_P1.27mm";4;"TJA1049T-3";;;
